"sexo","idade","ano","previsto","inferior","superior","observado"
"Ambos",75,2014,0.0445057723602981,0.0437589590223717,0.045265331206211,0.0447952572166353
"Ambos",80,2014,0.0761539818364613,0.0723677099400904,0.0801383511285507,0.0728816758474164
"Ambos",85,2014,0.124519943514787,0.119057574069728,0.130232926834582,0.122855473627083
"Ambos",90,2014,0.194300264919094,0.191443670024066,0.197199484019943,0.193398486795255
"Ambos",0,2015,0.0112846757345033,0.0108803507452922,0.011704025854864,0.0128633872889541
"Ambos",1,2015,0.000502489799246045,0.000453739948245562,0.00055647733756447,0.000531523610157047
"Ambos",5,2015,0.000246982526261993,0.000242285103829372,0.00025177102229824,0.000237180095765507
"Ambos",10,2015,0.00034166737216406,0.000313619380697913,0.000372223785856967,0.00032675791943684
"Ambos",15,2015,0.00123917099518846,0.00116756269584232,0.00131517113452186,0.00132619690792883
"Ambos",20,2015,0.00172824505358852,0.00160515289687869,0.00186077660954369,0.00171846960671951
"Ambos",25,2015,0.00174615766203083,0.00160639061871064,0.00189808540037185,0.00169285345294152
"Ambos",30,2015,0.00192534679546657,0.00177880483742378,0.00208396121082184,0.00184105235317669
"Ambos",35,2015,0.00228310218918681,0.00211559690894491,0.00246386992920556,0.00223864528171971
"Ambos",40,2015,0.00303068193298413,0.0027956766772737,0.00328544178716457,0.00296717794521677
"Ambos",45,2015,0.00424883113424411,0.00397960614199574,0.00453626951089911,0.00417206624201909
"Ambos",50,2015,0.00599909496676117,0.00582287520468151,0.00618064773074381,0.00599609377672742
"Ambos",55,2015,0.00862299735973282,0.00832718262430968,0.00892932061426036,0.00877360239801829
"Ambos",60,2015,0.0124705572140241,0.0118339580919624,0.0131414017203487,0.0128285816911482
"Ambos",65,2015,0.0186786892762548,0.0182767232435489,0.0190894958811626,0.0189480132592621
"Ambos",70,2015,0.0274796872672968,0.026232052831743,0.0287866610040774,0.0273672658157238
"Ambos",75,2015,0.0438713653999304,0.0431341997597805,0.0446211292378919,0.0443497466694559
"Ambos",80,2015,0.0761539818364613,0.0717990616862264,0.0807730465182473,0.0723890369954633
"Ambos",85,2015,0.124519943514787,0.118234265696543,0.131139786267383,0.122180512142916
"Ambos",90,2015,0.194300264919094,0.191443670009887,0.197199484034548,0.196228972466238
"Ambos",0,2016,0.0106027935115115,0.0102229000170729,0.0109968042395019,0.0124091232661057
"Ambos",1,2016,0.000480192116558992,0.000420024452492004,0.000548978678353956,0.00051606012802238
"Ambos",5,2016,0.000240039531498587,0.000235474159054375,0.000244693417373054,0.000229295321325133
"Ambos",10,2016,0.000339030800202554,0.000302051129551604,0.000380537836943752,0.000313367344695055
"Ambos",15,2016,0.00123917099518846,0.00115938867843163,0.00132444346221629,0.00131539525181774
"Ambos",20,2016,0.00172824505358852,0.00159121551103074,0.00187707506905737,0.00172517101099002
"Ambos",25,2016,0.00174615766203083,0.00159065032850662,0.00191686791623876,0.00166855316511309
"Ambos",30,2016,0.0019137178318616,0.00171919974330853,0.00213024458282962,0.00179273160027578
"Ambos",35,2016,0.00225194871075851,0.00203131522846255,0.00249654653538201,0.0021815195706889
"Ambos",40,2016,0.00297683131846253,0.0026733396247718,0.00331477699895157,0.00288930355316909
"Ambos",45,2016,0.00417685696569529,0.00382417596209866,0.0045620636405818,0.00406083791787735
"Ambos",50,2016,0.00587489849604637,0.00568226120909183,0.00607406647966545,0.00587044792675991
