sexo,idade,ano,previsto,observado
Homens,1,2018,5.321457410598067e-4,5.4849623671563e-4
Homens,5,2018,2.3359774757640334e-4,2.48054140372e-4
Homens,10,2018,3.5221697617841e-4,3.4759877331354e-4
Homens,15,2018,0.0021810324166188235,0.00191994087257499
Homens,20,2018,0.0028571945575133167,0.00274528373722183
Homens,25,2018,0.002685048633714167,0.00251330676859386
Homens,30,2018,0.0025836470230312433,0.00254425755574667
Homens,35,2018,0.002976759345638477,0.00292157786050983
Homens,40,2018,0.0038369298153090267,0.00371469870311863
Homens,45,2018,0.0053781771820211,0.0051087793614081
Homens,50,2018,0.007699482941383354,0.00748051327322415
Homens,55,2018,0.0112835838324576,0.010786702996587001
Homens,60,2018,0.016625482371402534,0.016143986391298
Homens,65,2018,0.0232143304928953,0.0233861321914028
Homens,70,2018,0.03399261402806407,0.033387336665686
Homens,75,2018,0.053008840481461664,0.0522667739342522
Homens,80,2018,0.08310970573210223,0.0828584909899789
Homens,85,2018,0.13802495227629502,0.132574546138651
Homens,90,2018,0.20579233477256467,0.216723711732269
Homens,0,2019,0.01074926848091058,0.0132675217298844
Homens,1,2019,5.242662442586733e-4,5.6100118987081e-4
Homens,5,2019,2.2960426423939334e-4,2.4322270760579e-4
Homens,10,2019,3.4526171087013665e-4,3.3470480880897e-4
Homens,15,2019,0.002180539737645277,0.00166243520131769
Homens,20,2019,0.002871450317978737,0.00248868207339464
Homens,25,2019,0.0026760314334888066,0.00234412921090513
Homens,30,2019,0.002543888935757923,0.00244345690282026
Homens,35,2019,0.0029221211358985066,0.00281326519263482
Homens,40,2019,0.0037715649793883398,0.00360208140826479
Homens,45,2019,0.00530228529632001,0.00497435134113222
Homens,50,2019,0.00760348721755746,0.00737330116016342
Homens,55,2019,0.011194832116814567,0.0106650953251627
Homens,60,2019,0.016638090688006632,0.0159239497138927
Homens,65,2019,0.022965052770563935,0.0233002936618778
Homens,70,2019,0.033664791108126764,0.0329968630644726
Homens,75,2019,0.05260483980067773,0.0518617482735885
Homens,80,2019,0.08250518774457097,0.0822478993861486
Homens,85,2019,0.13809964214800569,0.133128731071637
Homens,90,2019,0.20510291178595533,0.2182456976121
Mulheres,0,2016,0.011138579976292333,0.0112441653700822
Mulheres,1,2016,4.8571777169500335e-4,4.8265803913242e-4
Mulheres,5,2016,2.0542056979643667e-4,2.0280462595675e-4
Mulheres,10,2016,2.4616944723875e-4,2.4412063146909e-4
Mulheres,15,2016,4.5857981418093e-4,4.6653646507089e-4
Mulheres,20,2016,5.704937180030433e-4,5.606952952804e-4
Mulheres,25,2016,6.845649562243933e-4,6.7065080285973e-4
Mulheres,30,2016,9.1027993080157e-4,9.0323417775662e-4
Mulheres,35,2016,0.0013191491332625834,0.00129813036448878
Mulheres,40,2016,0.0018850081913032366,0.0018801837204144
Mulheres,45,2016,0.00277415772157833,0.00276913102869272
Mulheres,50,2016,0.0041048112826606335,0.00410540216228509
Mulheres,55,2016,0.006150860082258353,0.00613897417303654
Mulheres,60,2016,0.00926171043615451,0.00934098078133144
Mulheres,65,2016,0.014317300590803666,0.0143617906818095
Mulheres,70,2016,0.020906406944407034,0.0209030466156008
Mulheres,75,2016,0.03644857806938297,0.0364720048033259
